cartodb_id,the_geom,fuel_type_code,station_name,street_address,intersection_directions,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,date_last_confirmed,id,updated_at,owner_type_code,federal_agency_id,federal_agency_name,open_date,hydrogen_status_link,ng_vehicle_class,lpg_primary,e85_blender_pump,ev_connector_types,address,latitude,longitude,affgeoid,median_household_income
14147,0101000020E61000009886E123E28F5DC0FF1AB5673B074140,ELEC,Hall of Administration,140 N Grand Ave,"Located in Internal Services Department  Lot 18, upper level",,,E,,Private,"Permitted employee parking only Upper Level; keypad activated, instructions on EVSE ",,,,,,4,,,,,06/02/2015,63049,2015-06-02 18:19:27+00,LG,,,08/01/2014,,,,,J1772,"140 N Grand Ave
Los Angeles, CA 90012",34.0565004,-118.2481775,1400000US06037207400,10598
12180,0101000020E6100000B49E10F0DA8F5DC073E60DE665074140,ELEC,Music Center Parking,135 N Grand Ave,"Music Center Parking Lot 14, level 2",,213-972-7211  323-267-2023,E,,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,,,,,3,,,,,06/02/2015,21374,2015-06-02 18:19:30+00,P,,,01/31/2002,,,,,J1772,"135 N Grand Ave
Los Angeles, CA 90012",34.0577972,-118.2477379,1400000US06037207400,10598
17118,0101000020E61000006D29D65FE5F25DC05EC60380995E4240,ELEC,Fresno Area Hispanic Foundation,1444 Fulton St,,,877-455-3833,E,,Public - Card key at all times,"24 hours daily; EVgo network subscription and key fob required",,,,,,4,,,eVgo Network,https://www.evgonetwork.com/,10/09/2015,69299,2015-10-09 08:49:13+00,,,,,,,,,J1772,"1444 Fulton St
fresno, CA 93721",36.73905945,-119.7952499,1400000US06019000100,10979
18827,0101000020E610000030A589D2B95F5EC061116855F04A4340,ELEC,Sacramento County Garage,625 7th St,,,,E,,Private,Employee use only,,,,,,6,,,,,10/06/2015,70075,2015-10-06 22:11:59+00,LG,,,07/01/2014,,,,,J1772,"625 7th St
Sacramento, CA 95814",38.5854594,-121.4957167,1400000US06067005301,11572
5877,0101000020E6100000A2EF6E65895F5EC01BBD1AA0344C4340,ELEC,California Office of State Publishing,344 N 7th St,,,916-445-5386,E,,Public,24 hours daily,,,,,,2,,,,,10/06/2015,70069,2015-10-06 21:39:32+00,SG,,,07/01/2015,,,,,J1772,"344 N 7th St
Sacramento, CA 95814",38.595356,-121.492761,1400000US06067005301,11572
3998,0101000020E610000078E5C468E75F5EC04F97207E594C4340,ELEC,SACRAMENTO,N 3rd St,RICHARDS ST 1,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,57804,2015-10-09 08:15:37+00,,,,,,,,,J1772,"N 3rd St
Sacramento, CA 95811",38.5964811,-121.4984991,1400000US06067005301,11572
1445,0101000020E6100000BF10CD97F25F5EC0BF4F0B14674C4340,ELEC,SACRAMENTO,300 Richards Blvd,"RICHARDS ST 4
RICHARDS ST 2
RICHARDS ST 3",,888-758-4389,E,,Public,24 hours daily,,,,,,3,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,53072,2015-10-09 08:17:29+00,,,,,,,,,J1772,"300 Richards Blvd
Sacramento, CA 95811",38.5968957,-121.4991817,1400000US06067005301,11572
21361,0101000020E6100000EACDA8F92A605EC058CB9D99604A4340,ELEC,SACRAMENTO,312 K St,"LOT G #2; -
LOT G #3; -
LOT G #1; -",,888-758-4389,E,,Public,24 hours daily,,,,,,3,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,51721,2015-10-09 08:14:06+00,,,,,,,,,J1772,"312 K St
Sacramento, CA 95814",38.581073,-121.502623,1400000US06067000700,12068
9141,0101000020E6100000672D605DF05F5EC0DCBF0D8C174A4340,ELEC,621 CAPITOL MAL,621 Capitol Mall,"STATION 1; -
STATION 3; -
STATION 4; -
STATION 2; -",,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,51235,2015-10-09 08:16:51+00,,,,,,,,,J1772,"621 Capitol Mall
Sacramento, CA 95814",38.5788436,-121.4990457,1400000US06067000700,12068
2937,0101000020E61000007192E68F69605EC024D5777E514A4340,ELEC,SACRAMENTO,135 Neasham Cir,"LOT R #4; -
LOT R #5; -
LOT R #3; -
LOT R #2; -
LOT R #1; -",,888-758-4389,E,,Public,24 hours daily,,,,,,5,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,50433,2015-10-09 08:15:23+00,,,,,,,,,J1772,"135 Neasham Cir
Sacramento, CA 95814",38.580612,-121.506443,1400000US06067000700,12068
18251,0101000020E6100000D34B8C65FA5F5EC060014C19384A4340,ELEC,SACRAMENTO,597 L St,"LOT K #3
LOT K #2",,888-758-4389,E,,Public,24 hours daily,,,,,,3,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,50740,2015-10-09 08:13:38+00,,,,,,,,,J1772,"597 L St
Sacramento, CA 95814",38.579837,-121.499658,1400000US06067000700,12068
5763,0101000020E610000094DA8B683B605EC0B7F8CA72C84A4340,ELEC,SACRAMENTO,200 I St,"LOT P #2; -
LOT P #1
LOT P #4
LOT P #3",,888-758-4389,E,,Public,24 hours daily,,,,,,5,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,50432,2015-10-09 08:14:09+00,,,,,,,,,J1772,"200 I St
Sacramento, CA 95814",38.5842422,-121.503626,1400000US06067000700,12068
17573,0101000020E610000087F4801E0F605EC0E987C734894A4340,ELEC,SACRAMENTO,414 J St,"LOT U #2; -
LOT U #1; -",,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,50434,2015-10-09 08:15:06+00,,,,,,,,,J1772,"414 J St
Sacramento, CA 95814",38.5823122,-121.5009228,1400000US06067000700,12068
12366,0101000020E61000000ABDFE243E535DC04208C897500D4140,ELEC,Fairview Ford,292 N G St,,,909-884-9261,E,,Public,Dealership business hours,,,,,,1,,,,,05/05/2015,53680,2015-05-05 11:54:15+00,P,,,10/01/2013,,,,,J1772,"292 N G St
San Bernardino, CA 92410",34.104022,-117.300668,1400000US06071005701,12847
6384,0101000020E6100000B4C876BE9F525DC08CBE8234630D4140,ELEC,San Bernadino City Hall,300 N D St,,,909-384-5211,E,,Public,24 hours daily,,,,,,4,,,,,08/04/2015,21545,2015-08-04 12:50:05+00,P,,,05/30/2002,,,,,J1772,"300 N D St
San Bernardino, CA 92401",34.10459,-117.291,1400000US06071005701,12847
6963,0101000020E610000062105839B4905EC05BD3BCE3140D4340,ELEC,Vallejo City Hall,555 Santa Clara St,,,707-648-4209,E,,Public,24 hours daily,,,,,,2,,,,,05/05/2015,49350,2015-05-05 11:54:55+00,LG,,,08/29/2012,,,,,J1772,"555 Santa Clara St
Vallejo, CA 94590",38.1022,-122.261,1400000US06095250900,14183
8788,0101000020E610000031C6D166E6905EC01ABF95911F0D4340,ELEC,Vallejo Ferry Terminal,495 Mare Island Way,,,707-449-5424,E,,Public,24 hours daily,,,,,,,,2 SP Inductive  1 Avcon Conductive  1 Tesla Conductive,,,06/02/2015,27335,2015-06-02 18:04:50+00,LG,,,07/15/2005,,,,,,"495 Mare Island Way
Vallejo, CA 94590",38.1025259,-122.2640626,1400000US06095250900,14183
1555,0101000020E61000008D41CCCA9B905EC0DFE819B105EF4240,ELEC,CITYOFBERKELEY,2450 Durant Ave,"T-C GARAGE #3; Telegraph-Channing Parking Garage, 5th floor. Serves spaces labeled 565 and 568.
T-C GARAGE #2; Telegraph-Channing Parking Garage, 5th floor. Serves spaces labeled 564 and 569.
T-C GARAGE #1; Telegraph-Channing Parking Garage, 2nd floor, adjacent to the elevator. This location provides universal accessibility; please use stations on 5th floor if able.",,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,69871,2015-10-09 07:41:18+00,,,,,,,,,J1772,"2450 Durant Ave
Berkeley, CA 94704",37.8673612,-122.2595088,1400000US06001422800,14196
7346,0101000020E6100000F4A78DEA74905DC0876BB587BD064140,ELEC,Union Bank Bldg,445 S. Figueroa St.,,,888-998-2546,E,,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,6,,,Blink Network,http://www.blinknetwork.com/,10/09/2015,47622,2015-10-09 07:10:58+00,,,,,,,,,J1772,"445 S. Figueroa St.
Los Angeles, CA 90071",34.052659,-118.257136,1400000US06037207502,14639
20066,0101000020E6100000908653E6E68F5DC0596C938AC6064140,ELEC,BROOKFIELD WEST,235 S Hill St,"WFC HILL ST 02; Parking Rates Apply: Stations are on P1 by entrance.
WFC HILL ST 01; Parking Rates Apply: Station is on P1",,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,66853,2015-10-09 07:41:44+00,,,,,,,,,J1772,"235 S Hill St
LA, CA 90012",34.052934,-118.248468,1400000US06037207502,14639
4907,0101000020E61000009B4649FE16905DC0D9F9C8F7D6064140,ELEC,G&K,255 S Grand Ave,"GRAND TOWER 02; Located directly in front of gate in garage, parking fee apply
GRAND TOWER 01; Located directly in front of gate in garage, parking fee apply",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,53387,2015-10-09 07:54:26+00,,,,,,,,,J1772,"255 S Grand Ave
Los Angeles, CA 90012",34.0534353,-118.2514034,1400000US06037207502,14639
15266,0101000020E61000001D226E4E25905DC018A023A8D0064140,ELEC,BROOKFIELD WEST,330 S Grand Ave,"WFC 333 P3 01; Station is at 333 S. Grand on P3.",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,67182,2015-10-09 07:48:13+00,,,,,,,,,J1772,"330 S Grand Ave
LA, CA 90071",34.0532427,-118.252277,1400000US06037207502,14639
386,0101000020E6100000C99FB99830905DC0D15735ADB9064140,ELEC,BROOKFIELD WEST,355 S Grand Ave,"WFC 355 P3 02; Station is a 355 S. Grand at P3.",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,66679,2015-10-09 07:48:12+00,,,,,,,,,J1772,"355 S Grand Ave
LA, CA 90071",34.0525414,-118.2529661,1400000US06037207502,14639
13392,0101000020E6100000BBA35A9F4D905DC0FB2FC676AD064140,ELEC,CITYNATNL PLAZA,400 S Flower St,"CITYNATNL-J2 #7; located on the 5th Floor
CITYNATNL-J2 #6; Located on the 5th Floor
CITYNATNL-J2 #8; Stations are on the 5th Floor",,888-758-4389,E,,Public,24 hours daily,,,,,,3,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,42257,2015-10-09 07:59:41+00,,,,,,,,,J1772,"400 S Flower St
Los Angeles, CA 90071",34.0521687,-118.2547377,1400000US06037207502,14639
14016,0101000020E6100000AD8CA1F721905DC042DC8B1EAE064140,ELEC,Wells Fargo,355 S Grand Ave,Suite 2500,,,E,,Private,,,,,,,2,,,,,03/04/2015,46735,2015-03-04 14:12:46+00,P,,,07/23/2011,,,,,J1772,"355 S Grand Ave
Los Angeles, CA 90071",34.0521887,-118.2520732,1400000US06037207502,14639
17976,0101000020E61000005B1A097E65905DC04D4E48C6C5064140,ELEC,The Westin Bonaventure Hotel & Suites - Tesla,404 S Figueroa St,,,213-624-1000  877-798-3752,E,,Public,"24 hours daily; for Tesla use only; for guest use only; see valet for access",,,,,,3,,,Tesla,http://www.teslamotors.com/supercharger,,70419,2015-10-09 20:44:17+00,P,,,06/01/2015,,,,,TESLA,"404 S Figueroa St
Los Angeles, CA 90071",34.0529106,-118.2561946,1400000US06037207502,14639
20878,0101000020E6100000FDA60B0C34905DC071AC8BDB68064140,ELEC,BROOKFIELD WEST,555 W 5th St,"GAS CO TWR 3-4; Stations are on P1 by the parking office.
GAS CO TWR 5-6; Stations are on P1 adjacent to the parking office.
GAS CO TWR 1-2; Stations are on P1 adjacent to the parking office.",,888-758-4389,E,,Public,24 hours daily,,,,,,6,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,65528,2015-10-09 07:48:11+00,,,,,,,,,J1772,"555 W 5th St
Los Angeles, CA 90013",34.050075,-118.2531767,1400000US06037207502,14639
11715,0101000020E610000034BBEEAD48905DC0376DC66988064140,ELEC,WESTLAWN,633 W 5th St,STATION 1,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,53672,2015-10-09 08:20:12+00,,,,,,,,,J1772,"633 W 5th St
Los Angeles, CA 90071",34.051038,-118.254436,1400000US06037207502,14639
20992,0101000020E6100000BA8A2029FD8F5DC01FBFB7E9CF064140,ELEC,G&K,225 S Olive St,"MUSEUM TOWERS 1; Located on right just inside garage, parking fee apply
MUSEUM TOWERS 2; Located on right just inside garage, parking fee apply",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,53388,2015-10-09 07:54:27+00,,,,,,,,,J1772,"225 S Olive St
Los Angeles, CA 90012",34.05322,-118.2498267,1400000US06037207502,14639
12587,0101000020E6100000307A13E838905DC0FEA7D19AD5064140,ELEC,BROOKFIELD WEST,333 S Hope St,"333 S HOPE EV4; Enter parking structure, go to Level A, follow signs.
333 S HOPE EV1; Enter parking structure, go to Level A, follow signs.
333 S HOPE EV3; Enter parking structure, go to Level A, follow signs.
333 S HOPE EV5; Enter Parking Structure, go to Level F, Station by Elevator
333 S HOPE EV7; Level G Near the Elevator
333 S HOPE EV9; The station is on Level H near the elevator. 
333 S HOPE EV2; Enter parking structure, go to Level A, follow signs.",,888-758-4389,E,,Public,24 hours daily,,,,,,10,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,40396,2015-10-09 07:48:06+00,,,,,,,,,J1772,"333 S Hope St
Los Angeles, CA 90071",34.0533937,-118.2534733,1400000US06037207502,14639
5429,0101000020E61000002707FD964A905DC07A5F4B7E7A064140,ELEC,US BANK TOWER,663 W 5th St,"STATION  1
STATION  2",,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,53390,2015-10-09 08:20:09+00,,,,,,,,,J1772,"663 W 5th St
Los Angeles, CA 90071",34.0506132,-118.2545526,1400000US06037207502,14639
19047,0101000020E6100000D341A89C40555DC0F111312592FC4040,ELEC,UCR,W Campus Dr,"LOT 1 STATION 1; -
LOT 1 STATION 2; -",,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,53068,2015-10-09 07:42:11+00,,,,,,,,,J1772,"W Campus Dr
Riverside, CA 92507",33.97321,-117.3320686,1400000US06065046500,16314
3546,0101000020E6100000189F5D192F555DC07104A9143BFC4040,ELEC,UCR,3901-4013 Canyon Crest Dr,LOT 30 STATION1,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,53070,2015-10-09 07:42:10+00,,,,,,,,,J1772,"3901-4013 Canyon Crest Dr
Riverside, CA 92507",33.970553,-117.3309997,1400000US06065046500,16314
10616,0101000020E6100000F1A611E9ED545DC0EB49AA0029FC4040,ELEC,UCR,Citrus Dr,"LOT 6 STATION 2; -",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,67106,2015-10-09 07:42:12+00,,,,,,,,,J1772,"Citrus Dr
Riverside, CA 92507",33.9700013,-117.3270209,1400000US06065046500,16314
19769,0101000020E61000004690EFF730555DC0A6FFF6860CFD4040,ELEC,UCR,3654-3710 Canyon Crest Dr,"LOT 24 STATION1; -
LOT 24 STATION2; -",,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,69902,2015-10-09 07:42:11+00,,,,,,,,,J1772,"3654-3710 Canyon Crest Dr
Riverside, CA 92507",33.9769448,-117.3311138,1400000US06065046500,16314
255,0101000020E61000000ED18D55EF545DC0A249BD022CFC4040,ELEC,UCR,900 University Ave,LOT 6 STATION 1,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,53071,2015-10-09 07:42:10+00,,,,,,,,,J1772,"900 University Ave
Riverside, CA 92507",33.9700931,-117.3271078,1400000US06065046500,16314
19962,0101000020E61000006B22D85DC5545DC0EDC49BEBEAFC4040,ELEC,UCR,513 N Campus Dr,LOT 15 STATION1,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,53069,2015-10-09 07:42:10+00,,,,,,,,,J1772,"513 N Campus Dr
Riverside, CA 92507",33.9759192,-117.3245463,1400000US06065046500,16314
10249,0101000020E6100000DBA91496D3995EC076A49F15BDE54240,ELEC,CITY PARK,601 Montgomery St,"601MONTGOMERY2; City Park parking garage
601 MONTGOMERY; Enter Garage from Clay Street",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,57937,2015-10-09 08:16:52+00,,,,,,,,,J1772,"601 Montgomery St
San Francisco, CA 94111",37.7948329,-122.4035392,1400000US06075061100,16545
4021,0101000020E6100000B1E5F0A4E0995EC03EFE77E9CBE54240,ELEC,Hilton San Francisco Financial District,750 Kearny St,At Washington Street,,415-433-6600,E,,Public - Call ahead,"24 hours daily; for monthly parking use only",,,,,,1,,,,,06/02/2015,36236,2015-06-02 18:09:32+00,P,,,08/15/2010,,,,,J1772,"750 Kearny St
San Francisco, CA 94115",37.7952854,-122.4043362,1400000US06075061100,16545
20831,0101000020E61000008CAD56DCEE995EC0CD53C2B8C0E54240,ELEC,CCSF-SFMTA,733 Kearny St,"PORTSMOUTH SQ 2; Located in garage
PORTSMOUTH SQUR; Located in garage",,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,33700,2015-10-09 08:13:41+00,,,,,,,,,J1772,"733 Kearny St
San Francisco, CA 94108",37.7949439,-122.4052039,1400000US06075061100,16545
6902,0101000020E61000000F4757E9EE995EC020240B98C0E54240,ELEC,Hilton San Francisco Financial District Parking Garage,750 Kearny Street,,,888-998-2546,E,,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,4,,,Blink Network,http://www.blinknetwork.com/,10/09/2015,68287,2015-10-09 07:11:18+00,,,,,,,,,J1772,"750 Kearny Street
San Francisco, CA 94108",37.79494,-122.405207,1400000US06075061100,16545
20121,0101000020E6100000D1860D60DB995EC0B5FB5580EFE54240,ELEC,CARCHARGING,528 Jackson St,"ACE PARKING #21; Station is located to the left of the Columbus ave entrance.",,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,48982,2015-10-09 07:55:38+00,,,,,,,,,J1772,"528 Jackson St
San Francisco, CA 94133",37.7963715,-122.4040146,1400000US06075061100,16545
13920,0101000020E61000008DD88239D5995EC0B2E5A617C6E54240,ELEC,CITY PARK,600-698 Merchant St,"CITY PARK 1; Chargers available Monday - Friday 6AM to 7PM. Please valet park and request a vehicle charge.",,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,10/09/2015,51243,2015-10-09 08:15:37+00,,,,,,,,,J1772,"600-698 Merchant St
San Francisco, CA 94108",37.7951078,-122.4036392,1400000US06075061100,16545
1208,0101000020E610000029F4B006DE995EC04E67823C16E44240,ELEC,ACE PKG - 875 HOWARD GRG,875 Howard Street,,,800-663-5633,E,,Public - Card key at all times,"MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified",,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,10/09/2015,66343,2015-10-09 07:37:16+00,,,,,,,,,J1772,"875 Howard Street
San Francisco, CA 94103",37.7819286,-122.4041764,1400000US06075017801,16837
